Image type	Feature Class	Feature Name	1: RTSTRUCT: RTstruct_12_segment_Left cerebellar	1: RTSTRUCT: RTstruct_12_segment_R fourth ventr
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1	1.4.1
diagnostics	Versions	Python	3.9.10	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	86539a0668fe590a0490c6aca4996bea57aeba46	86539a0668fe590a0490c6aca4996bea57aeba46
diagnostics	Image-original	Dimensionality	3D	3D
diagnostics	Image-original	Spacing	(0.9722222089767499, 0.9722222089767499, 1.0)	(0.9722222089767499, 0.9722222089767499, 1.0)
diagnostics	Image-original	Size	(288, 288, 240)	(288, 288, 240)
diagnostics	Image-original	Mean	49.40526112999936	49.40526112999936
diagnostics	Image-original	Minimum	0.0	0.0
diagnostics	Image-original	Maximum	919.0	919.0
diagnostics	Mask-original	Hash	d46491147b97feee793fccbb482e7947dae6fd56	e1b23dbc42d9381085f5b40513f7a9000b19425b
diagnostics	Mask-original	Spacing	(0.9722222089767499, 0.9722222089767499, 1.0)	(0.9722222089767499, 0.9722222089767499, 1.0)
diagnostics	Mask-original	Size	(288, 288, 240)	(288, 288, 240)
diagnostics	Mask-original	BoundingBox	(147, 201, 71, 7, 8, 7)	(126, 183, 78, 4, 5, 4)
diagnostics	Mask-original	VoxelNum	183	62
diagnostics	Mask-original	VolumeNum	1	1
diagnostics	Mask-original	CenterOfMassIndex	(149.9071038251366, 204.79781420765028, 73.99453551912568)	(127.5, 184.9516129032258, 79.3225806451613)
diagnostics	Mask-original	CenterOfMass	(5.743017529531329, 52.46198157925181, -54.576221855044324)	(-16.041666448114356, 33.16706390726699, -49.248176729008705)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(19, 20, 19)	(15, 17, 16)
diagnostics	Image-interpolated	Mean	93.37300623371387	103.06236808581001
diagnostics	Image-interpolated	Minimum	-50.95392709214127	-8.963584672008858
diagnostics	Image-interpolated	Maximum	302.298498618282	231.32114951307443
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(19, 20, 19)	(15, 17, 16)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 7, 8, 7)	(5, 6, 6, 4, 5, 4)
diagnostics	Mask-interpolated	VoxelNum	183	62
diagnostics	Mask-interpolated	VolumeNum	1	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(8.907103825136613, 9.797814207650273, 8.994535519125684)	(6.5, 7.951612903225806, 7.32258064516129)
diagnostics	Mask-interpolated	CenterOfMass	(5.920994627998265, 52.164701359841985, -54.57622185504432)	(-16.48610919713836, 33.318500055417516, -49.24817672900871)
diagnostics	Mask-interpolated	Mean	167.80168451745132	163.1513641317283
diagnostics	Mask-interpolated	Minimum	77.17457259726199	113.26605896415874
diagnostics	Mask-interpolated	Maximum	252.57797263677105	231.32114951307443
original	shape	Elongation	0.9458749877276952	0.8132496664685286
original	shape	Flatness	0.8040767220203928	0.7812364961946245
original	shape	LeastAxisLength	5.624069577905828	3.9750801809668728
original	shape	MajorAxisLength	6.994443967702862	5.088190580354794
original	shape	Maximum2DDiameterColumn	8.06225774829855	5.0
original	shape	Maximum2DDiameterRow	8.246211251235321	5.385164807134504
original	shape	Maximum2DDiameterSlice	8.246211251235321	5.830951894845301
original	shape	Maximum3DDiameter	8.48528137423857	5.916079783099616
original	shape	MeshVolume	175.54166666666666	57.75
original	shape	MinorAxisLength	6.615869602112997	4.137969292401845
original	shape	Sphericity	0.8654277274785667	0.9157294997892335
original	shape	SurfaceArea	175.188985344588	78.90143680924571
original	shape	SurfaceVolumeRatio	0.9979908968122744	1.3662586460475448
original	shape	VoxelVolume	183.0	62.0
original	firstorder	10Percentile	124.45531895351313	122.55010936266278
original	firstorder	90Percentile	207.36457959437178	202.17289009307805
original	firstorder	Energy	40235839.21509062	13358421.70619748
original	firstorder	Entropy	2.4314540958923727	2.324443397506337
original	firstorder	InterquartileRange	43.19103604018852	50.28303234013407
original	firstorder	Kurtosis	3.0358205658946047	1.9886732129938995
original	firstorder	Maximum	252.57797263677105	231.32114951307443
original	firstorder	MeanAbsoluteDeviation	25.57239407532171	26.539937036048524
original	firstorder	Mean	167.80168451745132	163.1513641317283
original	firstorder	Median	169.49937548715297	160.26230833552682
original	firstorder	Minimum	77.17457259726199	113.26605896415874
original	firstorder	Range	175.40340003950905	118.05509054891569
original	firstorder	RobustMeanAbsoluteDeviation	17.514271347694148	20.276329947948582
original	firstorder	RootMeanSquared	468.90081451513197	464.17498275552117
original	firstorder	Skewness	-0.2851523717603426	0.12331674717740518
original	firstorder	TotalEnergy	40235839.21509062	13358421.70619748
original	firstorder	Uniformity	0.21365224402042463	0.21436004162330907
original	firstorder	Variance	1029.5578155891512	949.2285190075731
original	glcm	Autocorrelation	20.19037555090554	11.760902303477012
original	glcm	JointAverage	4.452329256445714	3.387562882926944
original	glcm	ClusterProminence	47.059515300512075	36.08559532239259
original	glcm	ClusterShade	-3.3148719790142755	-1.5889070154852463
original	glcm	ClusterTendency	3.7651457229412273	3.802861450539898
original	glcm	Contrast	2.3033521174329823	2.679615228582182
original	glcm	Correlation	0.2295897875039554	0.17863620367462835
original	glcm	DifferenceAverage	1.1375252398533102	1.2715408474856698
original	glcm	DifferenceEntropy	1.8748896361181124	1.8872646521872483
original	glcm	DifferenceVariance	0.9855384566762667	1.00787756764683
original	glcm	JointEnergy	0.06238831082166508	0.05987006321610137
original	glcm	JointEntropy	4.384714377409113	4.320411579921112
original	glcm	Imc1	-0.10530328787238562	-0.14701805689362366
original	glcm	Imc2	0.5987861635629813	0.6868377064412152
original	glcm	Idm	0.5430362884438094	0.49983469605400327
original	glcm	Idmn	0.9676355466290147	0.9377177352177873
original	glcm	Id	0.5824859873655645	0.5481379090861429
original	glcm	Idn	0.8854138865318826	0.8408972293935523
