Image type	Feature Class	Feature Name	1: RTSTRUCT: RTstruct_6_segment_Lt Frontal	1: RTSTRUCT: RTstruct_6_segment_R putamen	1: RTSTRUCT: RTstruct_6_segment_R cerebellar
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4	1.23.4	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1	1.4.1	1.4.1
diagnostics	Versions	Python	3.9.10	3.9.10	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	2857c6494bb678cea826cbf0be81395d5520be11	2857c6494bb678cea826cbf0be81395d5520be11	2857c6494bb678cea826cbf0be81395d5520be11
diagnostics	Image-original	Dimensionality	3D	3D	3D
diagnostics	Image-original	Spacing	(1.015625, 1.015625, 2.078947368421052)	(1.015625, 1.015625, 2.078947368421052)	(1.015625, 1.015625, 2.078947368421052)
diagnostics	Image-original	Size	(256, 256, 115)	(256, 256, 115)	(256, 256, 115)
diagnostics	Image-original	Mean	62.1582531472911	62.1582531472911	62.1582531472911
diagnostics	Image-original	Minimum	0.0	0.0	0.0
diagnostics	Image-original	Maximum	2263.0	2263.0	2263.0
diagnostics	Mask-original	Hash	f71e4c13652b17373a31b7d0ca5ea577f9e0629c	3d6bd0f69069200befc38d56b4bf76b0d4a3de19	366cfa75fe22ac667d3ab5f8914d8a9e542a000b
diagnostics	Mask-original	Spacing	(1.015625, 1.015625, 2.078947368421052)	(1.015625, 1.015625, 2.078947368421052)	(1.015625, 1.015625, 2.078947368421052)
diagnostics	Mask-original	Size	(256, 256, 115)	(256, 256, 115)	(256, 256, 115)
diagnostics	Mask-original	BoundingBox	(154, 123, 67, 7, 6, 4)	(153, 135, 54, 7, 8, 1)	(102, 160, 20, 9, 10, 4)
diagnostics	Mask-original	VoxelNum	91	43	232
diagnostics	Mask-original	VolumeNum	1	1	1
diagnostics	Mask-original	CenterOfMassIndex	(157.5164835164835, 125.34065934065934, 68.84615384615384)	(156.09302325581396, 138.25581395348837, 54.0)	(106.27155172413794, 164.56034482758622, 21.370689655172413)
diagnostics	Mask-original	CenterOfMass	(23.97203758786523, -0.3522245201294254, 21.58978631911242)	(22.52633576055851, 12.764729383517988, -9.274586150523191)	(-28.07359626393081, 39.48026855227582, -77.10920502529632)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 2.078947368421052)	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(20, 18, 20)	(19, 20, 13)	(21, 23, 20)
diagnostics	Image-interpolated	Mean	100.68101655332062	67.06234867692481	32.84960467961561
diagnostics	Image-interpolated	Minimum	-66.65022923087889	15.983121543294077	-51.42640521659919
diagnostics	Image-interpolated	Maximum	345.2613219887431	201.74924439035215	201.36030013094853
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 2.078947368421052)	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(20, 18, 20)	(19, 20, 13)	(21, 23, 20)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 8, 6, 9)	(6, 6, 6, 8, 8, 1)	(6, 6, 7, 9, 11, 8)
diagnostics	Mask-interpolated	VoxelNum	250	45	474
diagnostics	Mask-interpolated	VolumeNum	1	1	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(10.0, 8.284, 10.672)	(9.266666666666667, 9.311111111111112, 6.0)	(10.257383966244726, 11.443037974683545, 10.208860759493671)
diagnostics	Mask-interpolated	CenterOfMass	(23.986546516436754, -0.37514416298649245, 21.594782270529468)	(22.25321318303964, 12.651966948116124, -9.274586150523193)	(-27.75606951751515, 39.78389381144367, -76.86835696997686)
diagnostics	Mask-interpolated	Mean	248.6956785986576	129.52672722219629	79.9473400259546
diagnostics	Mask-interpolated	Minimum	67.31694746732495	64.23923503340207	10.739942970272747
diagnostics	Mask-interpolated	Maximum	345.2613219887431	201.74924439035215	149.10658949535826
original	shape	Elongation	0.8557703605704869	0.816821635331478	0.9720188690832179
original	shape	Flatness	0.5835431868754918	0.0	0.8507859965358142
original	shape	LeastAxisLength	5.286278118895505	0.0	8.13936513210995
original	shape	MajorAxisLength	9.058932119831974	8.470652761279448	9.566877176224562
original	shape	Maximum2DDiameterColumn	10.295630140987	8.0	11.40175425099138
original	shape	Maximum2DDiameterRow	9.848857801796104	8.0	12.206555615733702
original	shape	Maximum2DDiameterSlice	8.54400374531753	9.219544457292887	12.083045973594572
original	shape	Maximum3DDiameter	10.723805294763608	9.219544457292887	12.569805089976535
original	shape	MeshVolume	240.45833333333334	80.90570175438593	463.0
original	shape	MinorAxisLength	7.752365606572175	6.919012440793378	9.299185133491848
original	shape	Sphericity	0.8182456834816789	0.7194534907156254	0.81456677201331
original	shape	SurfaceArea	228.53898274292973	125.73827168497479	355.31327056822926
original	shape	SurfaceVolumeRatio	0.9504307027950638	1.554133626659489	0.7674152712056788
original	shape	VoxelVolume	250.0	93.55263157894736	474.0
original	firstorder	10Percentile	171.62890506083235	81.47371782413784	37.69482177992901
original	firstorder	90Percentile	306.24546528977015	182.3258415690564	114.67983817463387
