Image type	Feature Class	Feature Name	1: RTSTRUCT: RTstruct_5_segment_Rt ant Frontal	1: RTSTRUCT: RTstruct_5_segment_Lt ant Temporal	1: RTSTRUCT: RTstruct_5_segment_Rt Pre Motor Cortex	1: RTSTRUCT: RTstruct_5_segment_Rt Med Temporal
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	
diagnostics	Versions	Numpy	1.23.4	1.23.4	1.23.4	
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368	
diagnostics	Versions	PyWavelet	1.4.1	1.4.1	1.4.1	
diagnostics	Versions	Python	3.9.10	3.9.10	3.9.10	
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	
diagnostics	Image-original	Hash	8cd40c68fe943d85b94f67ebb0795e9b31915381	8cd40c68fe943d85b94f67ebb0795e9b31915381	8cd40c68fe943d85b94f67ebb0795e9b31915381	
diagnostics	Image-original	Dimensionality	3D	3D	3D	
diagnostics	Image-original	Spacing	(1.0156250000000002, 1.0156250000000002, 1.6428571428571028)	(1.0156250000000002, 1.0156250000000002, 1.6428571428571028)	(1.0156250000000002, 1.0156250000000002, 1.6428571428571028)	
diagnostics	Image-original	Size	(256, 256, 127)	(256, 256, 127)	(256, 256, 127)	
diagnostics	Image-original	Mean	60.80400013360452	60.80400013360452	60.80400013360452	
diagnostics	Image-original	Minimum	0.0	0.0	0.0	
diagnostics	Image-original	Maximum	1605.0	1605.0	1605.0	
diagnostics	Mask-original	Hash	1f56bcdb30a7e972146ea20a14c74d545d05972f	0c7d19649002a88c3984ef33538934d1ffa3abe1	686e543e880b24ce8966132cc5fef7b408951a33	
diagnostics	Mask-original	Spacing	(1.0156250000000002, 1.0156250000000002, 1.6428571428571028)	(1.0156250000000002, 1.0156250000000002, 1.6428571428571028)	(1.0156250000000002, 1.0156250000000002, 1.6428571428571028)	
diagnostics	Mask-original	Size	(256, 256, 127)	(256, 256, 127)	(256, 256, 127)	
diagnostics	Mask-original	BoundingBox	(82, 89, 56, 7, 8, 3)	(165, 93, 51, 2, 3, 3)	(91, 125, 73, 15, 14, 6)	
diagnostics	Mask-original	VoxelNum	81	13	689	
diagnostics	Mask-original	VolumeNum	1	1	1	
diagnostics	Mask-original	CenterOfMassIndex	(85.30864197530865, 92.54320987654322, 56.98765432098765)	(165.46153846153845, 93.92307692307692, 52.15384615384615)	(97.63570391872278, 131.54571843251088, 74.95936139332366)	
diagnostics	Mask-original	CenterOfMass	(-46.95118297747743, -22.039858064741523, 6.501711995090986)	(34.45410251634286, -20.638430595207083, -1.4395442794984206)	(-34.43151069139142, 17.572064687474466, 36.02665932821371)	
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	
diagnostics	Image-interpolated	Size	(19, 21, 17)	(14, 15, 17)	(28, 26, 21)	
diagnostics	Image-interpolated	Mean	85.66991984308613	78.98022094040716	183.10908925608146	
diagnostics	Image-interpolated	Minimum	-69.17531395242176	-41.215443678532736	22.694510904230803	
diagnostics	Image-interpolated	Maximum	317.3440973059141	310.6984388365011	353.1477348669082	
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	
diagnostics	Mask-interpolated	Size	(19, 21, 17)	(14, 15, 17)	(28, 26, 21)	
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 7, 9, 5)	(6, 6, 7, 2, 4, 5)	(6, 6, 6, 16, 14, 10)	
diagnostics	Mask-interpolated	VoxelNum	128	28	1233	
diagnostics	Mask-interpolated	VolumeNum	1	1	1	
diagnostics	Mask-interpolated	CenterOfMassIndex	(9.421875, 9.8515625, 7.9296875)	(6.392857142857143, 7.25, 9.142857142857142)	(13.148418491484184, 12.527169505271695, 9.575020275750203)	
diagnostics	Mask-interpolated	CenterOfMass	(-47.17870998364958, -22.185305595606867, 6.487395967756427)	(34.79227215920071, -20.786868095205435, -1.2994343893864304)	(-34.45216649235969, 17.490301409727174, 36.13272874350665)	
diagnostics	Mask-interpolated	Mean	169.82246067884182	113.548531125758	255.2175888160847	
diagnostics	Mask-interpolated	Minimum	57.92297981456886	56.42155314802061	75.17937494351233	
diagnostics	Mask-interpolated	Maximum	267.563497812794	191.9510729903795	339.4784434561367	
original	shape	Elongation	0.8893918400614875	0.7652519315872423	0.7717566490039318	
original	shape	Flatness	0.684242297645044	0.329103364663463	0.6304780276977354	
original	shape	LeastAxisLength	4.8331904243436075	1.8068892985418104	9.85961294396043	
original	shape	MajorAxisLength	7.063565700305278	5.4903397915409125	15.638313328640438	
original	shape	Maximum2DDiameterColumn	7.280109889280518	5.0990195135927845	17.4928556845359	
original	shape	Maximum2DDiameterRow	9.0	5.830951894845301	14.560219778561036	
original	shape	Maximum2DDiameterSlice	9.486832980505138	4.123105625617661	17.08800749063506	
original	shape	Maximum3DDiameter	9.486832980505138	5.916079783099616	18.841443681416774	
original	shape	MeshVolume	120.125	23.0	1218.125	
original	shape	MinorAxisLength	6.2822776955897215	4.2014931305469805	12.068972290585066	
original	shape	Sphericity	0.721492308269809	0.726492329493165	0.7913045159810324	
