Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_37_segment_Rt Internal Capsule
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	a9eb980b35bfcfb388d0c63614919a3df8c0e9d9
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(1.015625, 1.015625, 1.0000000000000129)
diagnostics	Image-original	Size	(256, 256, 208)
diagnostics	Image-original	Mean	86.29203928433932
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	2031.0
diagnostics	Mask-original	Hash	dd3083c729d01358d389adcc6c4e85f3ca00d893
diagnostics	Mask-original	Spacing	(1.015625, 1.015625, 1.0000000000000129)
diagnostics	Mask-original	Size	(256, 256, 208)
diagnostics	Mask-original	BoundingBox	(107, 120, 111, 5, 5, 8)
diagnostics	Mask-original	VoxelNum	121
diagnostics	Mask-original	VolumeNum	1
diagnostics	Mask-original	CenterOfMassIndex	(108.92561983471074, 121.88429752066116, 114.84297520661157)
diagnostics	Mask-original	CenterOfMass	(-17.607404844397195, -17.13909345789294, 0.39554428095348726)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(17, 17, 20)
diagnostics	Image-interpolated	Mean	96.98260213277274
diagnostics	Image-interpolated	Minimum	-33.47445302063539
diagnostics	Image-interpolated	Maximum	174.9951282245799
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(17, 17, 20)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 5, 5, 8)
diagnostics	Mask-interpolated	VoxelNum	121
diagnostics	Mask-interpolated	VolumeNum	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(7.925619834710743, 7.884297520661157, 9.84297520661157)
diagnostics	Mask-interpolated	CenterOfMass	(-17.31456579654903, -17.061006018939597, 0.4043341234333635)
diagnostics	Mask-interpolated	Mean	130.9842617787679
diagnostics	Mask-interpolated	Minimum	98.39348776902082
diagnostics	Mask-interpolated	Maximum	162.40350761670874
original	shape	Elongation	0.638627797630802
original	shape	Flatness	0.6212895254910991
original	shape	LeastAxisLength	4.6585781002563476
original	shape	MajorAxisLength	7.498240207049956
original	shape	Maximum2DDiameterColumn	8.246211251235321
original	shape	Maximum2DDiameterRow	8.54400374531753
original	shape	Maximum2DDiameterSlice	5.830951894845301
original	shape	Maximum3DDiameter	8.602325267042627
original	shape	MeshVolume	114.83333333333333
original	shape	MinorAxisLength	4.788584629535042
