Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_58_segment_Rt occipital
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	5a0b5fb5176aa837cd0ad4e080ad41fc6d61b4eb
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(1.015625, 1.015625, 0.9999999999999948)
diagnostics	Image-original	Size	(256, 256, 176)
diagnostics	Image-original	Mean	80.25728633187033
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	1711.0
diagnostics	Mask-original	Hash	faf989fff98a93b1c8deceffcc7827edc1790e64
diagnostics	Mask-original	Spacing	(1.015625, 1.015625, 0.9999999999999948)
diagnostics	Mask-original	Size	(256, 256, 176)
diagnostics	Mask-original	BoundingBox	(104, 196, 80, 3, 3, 4)
diagnostics	Mask-original	VoxelNum	12
diagnostics	Mask-original	VolumeNum	1
diagnostics	Mask-original	CenterOfMassIndex	(105.16666666666667, 196.91666666666666, 81.5)
diagnostics	Mask-original	CenterOfMass	(-23.093480910206026, 84.8343013126464, 17.62421798706054)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(15, 15, 16)
diagnostics	Image-interpolated	Mean	77.82005502614786
diagnostics	Image-interpolated	Minimum	-19.627482995788597
diagnostics	Image-interpolated	Maximum	153.69106240412938
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(15, 15, 16)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 3, 3, 4)
diagnostics	Mask-interpolated	VoxelNum	12
diagnostics	Mask-interpolated	VolumeNum	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(7.166666666666667, 6.916666666666667, 7.5)
diagnostics	Mask-interpolated	CenterOfMass	(-22.74452257687228, 84.74966589598145, 17.624217987060966)
diagnostics	Mask-interpolated	Mean	108.94238319369987
diagnostics	Mask-interpolated	Minimum	72.09038503095128
diagnostics	Mask-interpolated	Maximum	153.69106240412938
original	shape	Elongation	0.8161658231613362
original	shape	Flatness	0.6460855500237568
original	shape	LeastAxisLength	2.040268294437502
original	shape	MajorAxisLength	3.157891852499225
original	shape	Maximum2DDiameterColumn	4.0
original	shape	Maximum2DDiameterRow	4.0
original	shape	Maximum2DDiameterSlice	3.1622776601683795
original	shape	Maximum3DDiameter	4.0
original	shape	MeshVolume	8.958333333333334
original	shape	MinorAxisLength	2.5773634032495067
original	shape	Sphericity	0.8375854972406799
