Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_8_segment_Lt Occipital+Cavity
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	5aa43b5c98b94aaf60955fd971e49e17a55c6843
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(1.015625, 1.0156250000000002, 1.373563218390812)
diagnostics	Image-original	Size	(256, 256, 175)
diagnostics	Image-original	Mean	63.00589215959821
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	1018.0
diagnostics	Mask-original	Hash	88526e96b80ad17f639624539f6318b087e784e1
diagnostics	Mask-original	Spacing	(1.015625, 1.0156250000000002, 1.373563218390812)
diagnostics	Mask-original	Size	(256, 256, 175)
diagnostics	Mask-original	BoundingBox	(140, 151, 108, 37, 48, 21)
diagnostics	Mask-original	VoxelNum	10467
diagnostics	Mask-original	VolumeNum	1
diagnostics	Mask-original	CenterOfMassIndex	(157.20846469857648, 177.1152192605331, 120.07690837871405)
diagnostics	Mask-original	CenterOfMass	(26.938809295813513, 46.420174745420724, 48.15943871544975)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(50, 61, 41)
diagnostics	Image-interpolated	Mean	88.58291368479694
diagnostics	Image-interpolated	Minimum	-77.04942582286024
diagnostics	Image-interpolated	Maximum	359.09028361383815
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(50, 61, 41)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 38, 49, 29)
diagnostics	Mask-interpolated	VoxelNum	15088
diagnostics	Mask-interpolated	VolumeNum	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(23.75132555673383, 32.595705196182394, 23.09152969247084)
diagnostics	Mask-interpolated	CenterOfMass	(27.016914217134758, 46.12542288012455, 48.12945713170906)
diagnostics	Mask-interpolated	Mean	107.02186533069691
diagnostics	Mask-interpolated	Minimum	-21.38937421407463
diagnostics	Mask-interpolated	Maximum	300.66673325717437
original	shape	Elongation	0.5924642944225093
original	shape	Flatness	0.4214044351314765
original	shape	LeastAxisLength	20.37395695406251
original	shape	MajorAxisLength	48.34775160281813
original	shape	Maximum2DDiameterColumn	41.617304093369626
original	shape	Maximum2DDiameterRow	47.51841748206689
original	shape	Maximum2DDiameterSlice	51.62363799656123
original	shape	Maximum3DDiameter	52.952809179494906
original	shape	MeshVolume	15037.083333333334
original	shape	MinorAxisLength	28.644316540278382
