Image type	Feature Class	Feature Name	RTSTRUCT: ANON_5_segment_Rt Med Frontal Flax	RTSTRUCT: ANON_5_segment_Rt Sup Frontal	RTSTRUCT: ANON_5_segment_Lt Temporal	RTSTRUCT: ANON_5_segment_Lt Parietal
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4	1.23.4	1.23.4	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1	1.4.1	1.4.1	1.4.1
diagnostics	Versions	Python	3.9.10	3.9.10	3.9.10	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	fc469f46b114780817cee5ad29c28e06079077df	fc469f46b114780817cee5ad29c28e06079077df	fc469f46b114780817cee5ad29c28e06079077df	fc469f46b114780817cee5ad29c28e06079077df
diagnostics	Image-original	Dimensionality	3D	3D	3D	3D
diagnostics	Image-original	Spacing	(1.015625, 1.015625, 1.0)	(1.015625, 1.015625, 1.0)	(1.015625, 1.015625, 1.0)	(1.015625, 1.015625, 1.0)
diagnostics	Image-original	Size	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)
diagnostics	Image-original	Mean	74.95891068776449	74.95891068776449	74.95891068776449	74.95891068776449
diagnostics	Image-original	Minimum	0.0	0.0	0.0	0.0
diagnostics	Image-original	Maximum	1906.0	1906.0	1906.0	1906.0
diagnostics	Mask-original	Hash	77e1bb61d95e936abfe2ec251b0a2a9b25e95bc1	cc6d6778cbfc5d17a2fb9430f8f9e323fb824385	3b8d77b8795b169d0681ea3e3e1985a291ec3621	a89bc9d2435fc38b2874727e6904ef905456ee20
diagnostics	Mask-original	Spacing	(1.015625, 1.015625, 1.0)	(1.015625, 1.015625, 1.0)	(1.015625, 1.015625, 1.0)	(1.015625, 1.015625, 1.0)
diagnostics	Mask-original	Size	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)
diagnostics	Mask-original	BoundingBox	(120, 137, 149, 7, 7, 8)	(84, 123, 155, 26, 28, 23)	(157, 97, 81, 23, 32, 28)	(162, 163, 134, 14, 13, 11)
diagnostics	Mask-original	VoxelNum	201	6873	8974	878
diagnostics	Mask-original	VolumeNum	1	1	1	1
diagnostics	Mask-original	CenterOfMassIndex	(122.45771144278606, 139.73134328358208, 152.23383084577114)	(96.12963771278918, 136.32096609922885, 166.72311945293177)	(168.35012257633161, 112.79139737018052, 94.73412079340316)	(168.05580865603645, 168.9510250569476, 138.14350797266516)
diagnostics	Mask-original	CenterOfMass	(-1.9003022880053635, 6.416474192867156, 31.66071132463111)	(-28.639752170016493, 2.95280986487748, 46.14999993179174)	(44.70917776963584, -20.944408375203054, -25.838998727736865)	(44.41026519405672, 36.092713494168294, 17.570388451525133)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(19, 19, 20)	(39, 40, 35)	(36, 44, 40)	(26, 25, 23)
diagnostics	Image-interpolated	Mean	133.81313565479684	188.4757492839191	64.87824336935253	69.46914495068859
diagnostics	Image-interpolated	Minimum	-41.683877106242946	-63.493574220970736	-56.98789979255217	-26.494079964781378
diagnostics	Image-interpolated	Maximum	313.49997495308764	353.7452742315601	357.6564553865913	247.61628918391452
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(19, 19, 20)	(39, 40, 35)	(36, 44, 40)	(26, 25, 23)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 7, 7, 8)	(6, 6, 6, 27, 28, 23)	(6, 6, 6, 24, 32, 28)	(6, 6, 6, 14, 13, 11)
diagnostics	Mask-interpolated	VoxelNum	201	7300	9230	878
diagnostics	Mask-interpolated	VolumeNum	1	1	1	1
