Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_28_segment_Lt Post Central Gyrus	1: RTSTRUCT: ANON_28_segment_Lt Temporal
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1	1.4.1
diagnostics	Versions	Python	3.9.10	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	b1cd52470304ef651c2e276485948d54287fa411	b1cd52470304ef651c2e276485948d54287fa411
diagnostics	Image-original	Dimensionality	3D	3D
diagnostics	Image-original	Spacing	(1.09375, 1.09375, 1.0937499999999811)	(1.09375, 1.09375, 1.0937499999999811)
diagnostics	Image-original	Size	(256, 256, 161)	(256, 256, 161)
diagnostics	Image-original	Mean	128.7523237903666	128.7523237903666
diagnostics	Image-original	Minimum	0.0	0.0
diagnostics	Image-original	Maximum	2049.0	2049.0
diagnostics	Mask-original	Hash	4fa91ae0508bc1a1f168e7ae404a4b60710b4f49	74a18079c96b774b862b6003beba3bc154bf522b
diagnostics	Mask-original	Spacing	(1.09375, 1.09375, 1.0937499999999811)	(1.09375, 1.09375, 1.0937499999999811)
diagnostics	Mask-original	Size	(256, 256, 161)	(256, 256, 161)
diagnostics	Mask-original	BoundingBox	(143, 166, 110, 11, 9, 12)	(178, 161, 59, 2, 3, 4)
diagnostics	Mask-original	VoxelNum	521	14
diagnostics	Mask-original	VolumeNum	1	1
diagnostics	Mask-original	CenterOfMassIndex	(148.53742802303262, 170.3435700575816, 115.76967370441459)	(178.57142857142858, 161.57142857142858, 60.57142857142857)
diagnostics	Mask-original	CenterOfMass	(22.462811909695347, 9.367063162618251, 68.20833917259426)	(55.31250000753556, -0.2274665945991785, 7.83525855839185)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(24, 21, 25)	(14, 15, 17)
diagnostics	Image-interpolated	Mean	149.5571574401926	149.40617312539064
diagnostics	Image-interpolated	Minimum	-34.04464210405378	8.64017380439337
diagnostics	Image-interpolated	Maximum	338.89283949808424	240.45531705080919
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(24, 21, 25)	(14, 15, 17)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 12, 9, 13)	(6, 6, 7, 2, 3, 4)
diagnostics	Mask-interpolated	VoxelNum	578	14
diagnostics	Mask-interpolated	VolumeNum	1	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(12.387543252595156, 10.30795847750865, 12.423875432525952)	(6.571428571428571, 6.571428571428571, 8.571428571428571)
diagnostics	Mask-interpolated	CenterOfMass	(22.34066826208788, 9.314866889672086, 67.96225899091897)	(55.52455357892429, -0.4216630232141263, 8.109812129821579)
diagnostics	Mask-interpolated	Mean	241.88603214003422	206.9878321356585
diagnostics	Mask-interpolated	Minimum	134.54885705073724	129.29387875734852
diagnostics	Mask-interpolated	Maximum	320.04767567445344	240.45531705080919
original	shape	Elongation	0.847665403804751	0.5980756781968357
original	shape	Flatness	0.6657690577596052	0.4421612455557802
original	shape	LeastAxisLength	7.562934644193227	1.7905072553037689
original	shape	MajorAxisLength	11.359696813852288	4.04944411863407
original	shape	Maximum2DDiameterColumn	13.152946437965905	4.123105625617661
original	shape	Maximum2DDiameterRow	13.152946437965905	4.123105625617661
original	shape	Maximum2DDiameterSlice	12.649110640673518	3.1622776601683795
original	shape	Maximum3DDiameter	13.30413469565007	4.242640687119285
original	shape	MeshVolume	565.7916666666666	10.958333333333334
original	shape	MinorAxisLength	9.629221986813643	2.421874037572259
original	shape	Sphericity	0.8365155901364913	0.8454941853763559
original	shape	SurfaceArea	395.4708247175316	28.218667597053926
original	shape	SurfaceVolumeRatio	0.6989689810163311	2.5750875373737423
original	shape	VoxelVolume	578.0	14.0
original	firstorder	10Percentile	200.2178708737625	160.61012389847008
original	firstorder	90Percentile	290.96224461298857	237.4825003572444
original	firstorder	Energy	170406191.26938552	3614374.530637252
original	firstorder	Entropy	2.503717179908233	2.0741647430225734
original	firstorder	InterquartileRange	45.09861556692371	40.65571425199204
original	firstorder	Kurtosis	2.925361755397356	2.767284335916179
original	firstorder	Maximum	320.04767567445344	240.45531705080919
original	firstorder	MeanAbsoluteDeviation	27.216059969181366	27.625032500607087
original	firstorder	Mean	241.88603214003422	206.9878321356585
original	firstorder	Median	239.07619230925286	216.48937162974173
original	firstorder	Minimum	134.54885705073724	129.29387875734852
original	firstorder	Range	185.4988186237162	111.16143829346066
original	firstorder	RobustMeanAbsoluteDeviation	18.65891265698788	19.14395732572809
original	firstorder	RootMeanSquared	542.9736642969382	508.10393555967687
original	firstorder	Skewness	-0.0754593391605954	-0.9535741355488943
original	firstorder	TotalEnergy	170406191.26938552	3614374.530637252
original	firstorder	Uniformity	0.20785790400019158	0.2755102040816326
original	firstorder	Variance	1179.9282915739818	1132.947397617643
original	glcm	Autocorrelation	27.202036544750413	15.76208791208791
original	glcm	JointAverage	5.12754714677879	3.956196581196581
original	glcm	ClusterProminence	113.88621866918365	31.312383859199205
original	glcm	ClusterShade	-0.29043753301631753	-4.867279296492253
original	glcm	ClusterTendency	5.969456606591894	3.215866571699905
original	glcm	Contrast	2.3312834454530496	2.9187423687423686
original	glcm	Correlation	0.4376155602566608	0.012574674206208033
original	glcm	DifferenceAverage	1.1160707415053908	1.3161782661782662
original	glcm	DifferenceEntropy	1.9168518434515425	1.1701043982204105
original	glcm	DifferenceVariance	1.0586361117864285	0.8111721127197316
original	glcm	JointEnergy	0.050623213181100184	0.234919326705041
original	glcm	JointEntropy	4.818232372833843	2.347451999870273
original	glcm	Imc1	-0.0969575842660151	-0.6338327777172348
original	glcm	Imc2	0.6017370221212339	0.9209996330447386
original	glcm	Idm	0.5564100178589199	0.493117503411621
original	glcm	Idmn	0.9675856308285802	0.9106188305358489
original	glcm	Id	0.5955272829223897	0.5442612942612942
original	glcm	Idn	0.88814931014523	0.8137617012617013
