Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_3_segment_RT Temporal
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}"
diagnostics	Configuration	EnabledImageTypes	"{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}"
diagnostics	Image-original	Hash	91b508345f4da91cb7b773f33bd4b24755bbe679
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	"(1.015625, 1.015625, 1.6369863013698627)"
diagnostics	Image-original	Size	"(256, 256, 147)"
diagnostics	Image-original	Mean	55.43125397
diagnostics	Image-original	Minimum	0
diagnostics	Image-original	Maximum	1899
diagnostics	Mask-original	Hash	532530ba313f69718d615ea7c0958b1713836dac
diagnostics	Mask-original	Spacing	"(1.015625, 1.015625, 1.6369863013698627)"
diagnostics	Mask-original	Size	"(256, 256, 147)"
diagnostics	Mask-original	BoundingBox	"(95, 105, 60, 25, 20, 8)"
diagnostics	Mask-original	VoxelNum	2065
diagnostics	Mask-original	VolumeNum	1
diagnostics	Mask-original	CenterOfMassIndex	"(107.55399515738499, 114.84939467312348, 63.313317191283296)"
diagnostics	Mask-original	CenterOfMass	"(-24.358246152042085, -16.09216108228405, -13.279283376374224)"
diagnostics	Image-interpolated	Spacing	"(1.0, 1.0, 1.0)"
diagnostics	Image-interpolated	Size	"(38, 32, 25)"
diagnostics	Image-interpolated	Mean	118.8808799
diagnostics	Image-interpolated	Minimum	-69.61012537
diagnostics	Image-interpolated	Maximum	352.583002
diagnostics	Mask-interpolated	Spacing	"(1.0, 1.0, 1.0)"
diagnostics	Mask-interpolated	Size	"(38, 32, 25)"
diagnostics	Mask-interpolated	BoundingBox	"(6, 6, 6, 26, 20, 13)"
diagnostics	Mask-interpolated	VoxelNum	3444
diagnostics	Mask-interpolated	VolumeNum	1
diagnostics	Mask-interpolated	CenterOfMassIndex	"(19.378339140534262, 15.915214866434379, 11.81910569105691)"
diagnostics	Mask-interpolated	CenterOfMass	"(-24.22224584322823, -15.828675180740042, -13.421703772418022)"
diagnostics	Mask-interpolated	Mean	187.6037271
diagnostics	Mask-interpolated	Minimum	-9.010959823
diagnostics	Mask-interpolated	Maximum	349.920293
original	shape	Elongation	0.709838965
original	shape	Flatness	0.542299345
original	shape	LeastAxisLength	13.08660697
original	shape	MajorAxisLength	24.13170345
original	shape	Maximum2DDiameterColumn	25
original	shape	Maximum2DDiameterRow	20.80865205
original	shape	Maximum2DDiameterSlice	26.83281573
original	shape	Maximum3DDiameter	27.22131518
original	shape	MeshVolume	3421.708333
original	shape	MinorAxisLength	17.1296234
original	shape	Sphericity	0.744927427
