Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_9_segment_Left cerebellar	1: RTSTRUCT: ANON_9_segment_RT Sup Frontal
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1	1.4.1
diagnostics	Versions	Python	3.9.10	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	1c40aee48cd22d7f88479f3bcfc484803184d5ac	1c40aee48cd22d7f88479f3bcfc484803184d5ac
diagnostics	Image-original	Dimensionality	3D	3D
diagnostics	Image-original	Spacing	(1.015625, 1.015625, 1.1436464088397569)	(1.015625, 1.015625, 1.1436464088397569)
diagnostics	Image-original	Size	(256, 256, 182)	(256, 256, 182)
diagnostics	Image-original	Mean	71.4314218039041	71.4314218039041
diagnostics	Image-original	Minimum	0.0	0.0
diagnostics	Image-original	Maximum	1545.0	1545.0
diagnostics	Mask-original	Hash	5f36ca4e2351b19068cf503da68fbd2a67086279	c7f3491f1b54d2445bec26d548d852c02587c256
diagnostics	Mask-original	Spacing	(1.015625, 1.015625, 1.1436464088397569)	(1.015625, 1.015625, 1.1436464088397569)
diagnostics	Mask-original	Size	(256, 256, 182)	(256, 256, 182)
diagnostics	Mask-original	BoundingBox	(153, 157, 51, 4, 4, 3)	(111, 105, 132, 8, 10, 7)
diagnostics	Mask-original	VoxelNum	26	216
diagnostics	Mask-original	VolumeNum	1	1
diagnostics	Mask-original	CenterOfMassIndex	(154.34615384615384, 158.26923076923077, 51.76923076923077)	(114.73148148148148, 109.5324074074074, 134.96296296296296)
diagnostics	Mask-original	CenterOfMass	(27.176770090902835, 40.572695732247695, -34.62803011795858)	(-13.056881529225123, -8.925640494801172, 60.516182943379704)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(16, 17, 16)	(20, 22, 20)
diagnostics	Image-interpolated	Mean	53.08744787635073	178.28567074695266
diagnostics	Image-interpolated	Minimum	-53.05831368287325	-44.65241481052387
diagnostics	Image-interpolated	Maximum	280.4993133968586	352.4226693516923
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(16, 17, 16)	(20, 22, 20)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 4, 5, 4)	(6, 6, 6, 8, 10, 8)
diagnostics	Mask-interpolated	VoxelNum	43	268
diagnostics	Mask-interpolated	VolumeNum	1	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(7.348837209302325, 7.604651162790698, 7.255813953488372)	(9.779850746268657, 10.600746268656716, 9.48134328358209)
diagnostics	Mask-interpolated	CenterOfMass	(26.75998230020589, 40.42734689503635, -34.6497342265175)	(-12.809004162587804, -8.5765579992914, 60.575795103576226)
diagnostics	Mask-interpolated	Mean	65.9796281521118	289.3335424526843
diagnostics	Mask-interpolated	Minimum	44.737099898727685	115.9500150677831
diagnostics	Mask-interpolated	Maximum	89.42983490047511	319.8755890700414
original	shape	Elongation	0.7393355306424412	0.9538023945657522
original	shape	Flatness	0.6659503288058137	0.5565120933155492
original	shape	LeastAxisLength	3.3855916479322254	5.105773441520749
original	shape	MajorAxisLength	5.083850103360246	9.174595669793852
original	shape	Maximum2DDiameterColumn	4.47213595499958	10.0
original	shape	Maximum2DDiameterRow	5.385164807134504	10.44030650891055
original	shape	Maximum2DDiameterSlice	5.385164807134504	10.816653826391969
original	shape	Maximum3DDiameter	5.916079783099616	11.0
original	shape	MeshVolume	38.458333333333336	259.2916666666667
original	shape	MinorAxisLength	3.7586710138744768	8.750751319021957
original	shape	Sphericity	0.8345684370115798	0.7873428949036866
original	shape	SurfaceArea	66.02105725862938	249.75407598002954
original	shape	SurfaceVolumeRatio	1.7166905462698863	0.9632167481151709
original	shape	VoxelVolume	43.0	268.0
original	firstorder	10Percentile	51.86384364654192	270.08726622227414
original	firstorder	90Percentile	80.15164401268702	307.1027748011175
original	firstorder	Energy	5764122.651462967	93340075.21233635
original	firstorder	Entropy	0.7942556838305377	1.703166797215014
original	firstorder	InterquartileRange	12.257809563130358	12.723372063960426
original	firstorder	Kurtosis	2.680881937889308	14.875333761745345
original	firstorder	Maximum	89.42983490047511	319.8755890700414
original	firstorder	MeanAbsoluteDeviation	8.171933758000893	17.666231937789103
original	firstorder	Mean	65.9796281521118	289.3335424526843
original	firstorder	Median	65.57289894161113	298.64433917663007
original	firstorder	Minimum	44.737099898727685	115.9500150677831
original	firstorder	Range	44.69273500174743	203.92557400225832
original	firstorder	RobustMeanAbsoluteDeviation	5.287955744842133	6.284044990720244
original	firstorder	RootMeanSquared	366.1275242145977	590.1557953054416
original	firstorder	Skewness	0.27766743188029025	-3.3547596928406422
original	firstorder	TotalEnergy	5764122.651462967	93340075.21233635
original	firstorder	Uniformity	0.6895619253650622	0.386249721541546
original	firstorder	Variance	108.27576515283725	969.8384727684382
original	glcm	Autocorrelation	4.996540032625319	67.15503028478382
original	glcm	JointAverage	2.2309454059906795	8.162474704234961
original	glcm	ClusterProminence	0.5778497620337727	212.1846995979758
original	glcm	ClusterShade	0.19425083622151926	-23.509181515185592
original	glcm	ClusterTendency	0.4398028290926987	4.05699348983762
original	glcm	Contrast	0.3655024856449029	1.950982626708627
original	glcm	Correlation	0.08801077837272632	0.31695668624868156
original	glcm	DifferenceAverage	0.3655024856449029	0.8818982660526731
original	glcm	DifferenceEntropy	0.9284710942932168	1.6214581822507412
original	glcm	DifferenceVariance	0.22583675091514224	1.1514964399292735
original	glcm	JointEnergy	0.3875157989911565	0.17505214094042065
original	glcm	JointEntropy	1.7123208450676346	3.0565258217059017
original	glcm	Imc1	-0.047375366813038215	-0.13490897877973881
original	glcm	Imc2	0.24181943707641163	0.5794123836266754
original	glcm	Idm	0.8172487571775485	0.6464445711450877
original	glcm	Idmn	0.9634497514355096	0.9794646365985398
original	glcm	Id	0.8172487571775485	0.6630748747275128
original	glcm	Idn	0.9086243785887743	0.919790968754639
